№,Секунда,Микросекунда
1,53,412819
2,53,423787
3,53,434758
4,53,445730
5,53,456700
6,53,467671
7,53,478641
8,53,489612
9,53,500582
10,53,511553
11,53,522524
12,53,533494
13,53,544465
14,53,555435
15,53,565776
16,53,576152
17,53,586357
18,53,596943
19,53,607660
20,53,618057
21,53,628339
22,53,639132
23,53,649743
24,53,661012
25,53,672064
26,53,682245
27,53,693396
28,53,703708
29,53,714043
30,53,724314
31,53,734461
32,53,744760
33,53,755747
34,53,766031
35,53,776425
36,53,786520
37,53,796802
38,53,807588
39,53,818196
40,53,828627
41,53,839459
42,53,849971
43,53,860375
44,53,870817
45,53,881598
46,53,892580
47,53,902993
48,53,913197
49,53,923353
50,53,933653
51,53,944375
52,53,954496
53,53,964727
54,53,975816
55,53,985942
56,53,996970
57,54,7829
58,54,18206
59,54,28526
60,54,38718
61,54,49459
62,54,59792
63,54,70004
64,54,80552
65,54,91622
66,54,102334
67,54,112664
68,54,123461
69,54,134524
70,54,144847
71,54,155804
72,54,166197
73,54,177075
74,54,188074
75,54,198309
76,54,209082
77,54,219676
78,54,230870
79,54,241113
80,54,251182
81,54,261387
82,54,271607
83,54,282464
84,54,292745
85,54,303155
86,54,314198
87,54,324276
88,54,334561
89,54,344893
90,54,355155
91,54,365398
92,54,375623
93,54,385983
94,54,396797
95,54,407069
96,54,417228
97,54,428409
98,54,439234
99,54,450198
100,54,460412
101,54,471433
102,54,481613
103,54,491944
104,54,502969
105,54,513245
106,54,524142
107,54,534664
108,54,544871
109,54,555107
110,54,565750
111,54,576719
112,54,587691
113,54,598661
114,54,609632
115,54,620602
116,54,631574
117,54,642544
118,54,653515
119,54,664485
120,54,675455
121,54,686427
122,54,697397
123,54,708368
124,54,719338
125,54,730338
126,54,741281
127,54,751511
128,54,761758
129,54,772869
130,54,782973
131,54,793151
132,54,803445
133,54,813844
134,54,824191
135,54,834282
136,54,845342
137,54,855677
138,54,866715
139,54,876964
140,54,887741
141,54,898401
142,54,908929
143,54,919731
144,54,929866
145,54,940146
146,54,951166
147,54,962165
148,54,973204
149,54,984281
150,54,994436
151,55,4880
152,55,15175
153,55,25579
154,55,35810
155,55,46814
156,55,58035
157,55,68148
158,55,78239
159,55,88772
160,55,99597
161,55,110168
162,55,120305
163,55,131063
164,55,141220
165,55,151375
166,55,161739
167,55,171926
168,55,182179
169,55,192255
170,55,202415
171,55,212507
172,55,222828
173,55,232981
174,55,243074
175,55,254296
176,55,264524
177,55,274763
178,55,285012
179,55,295203
180,55,305278
181,55,315525
182,55,325807
183,55,336712
184,55,347645
185,55,358476
186,55,368553
187,55,378819
188,55,389071
189,55,399511
190,55,409663
191,55,419913
192,55,430113
193,55,440803
194,55,451806
195,55,462935
196,55,473506
197,55,484114
198,55,494397
199,55,504714
200,55,515107
201,55,525802
202,55,536088
203,55,546387
204,55,556892
205,55,567199
206,55,577420
207,55,587630
208,55,597956
209,55,608182
210,55,618401
211,55,629033
212,55,639280
213,55,649530
214,55,659642
215,55,670205
216,55,681362
217,55,691743
218,55,702098
219,55,712538
220,55,723059
221,55,734072
222,55,744580
223,55,754812
224,55,765083
225,55,775907
226,55,786168
227,55,796251
228,55,806490
229,55,816765
230,55,827054
231,55,837743
232,55,847908
233,55,858699
234,55,869102
235,55,879374
236,55,890401
237,55,900763
238,55,911803
239,55,922976
240,55,933606
241,55,944598
242,55,955061
243,55,965404
244,55,976061
245,55,986209
246,55,996472
247,56,6505
248,56,17523
249,56,27562
250,56,38590
251,56,49590
252,56,60530
253,56,71556
254,56,82553
255,56,93498
256,56,103641
257,56,114376
258,56,124598
259,56,135103
260,56,145747
261,56,156779
262,56,167332
263,56,178303
264,56,189273
265,56,200247
266,56,211219
267,56,222190
268,56,233161
269,56,244111
270,56,254270
271,56,264611
272,56,274706
273,56,285685
274,56,296030
275,56,306290
276,56,316571
277,56,326648
278,56,337415
279,56,348410
280,56,358569
281,56,369595
282,56,379686
283,56,389962
284,56,400810
285,56,411619
286,56,422668
287,56,433609
288,56,444505
289,56,455501
290,56,466527
291,56,477507
292,56,487990
293,56,498863
294,56,509864
295,56,520814
296,56,531830
297,56,542626
298,56,553048
299,56,563261
300,56,573781
